Time : 12:57:59; X : 4.998484419938491; Y : -5.021916280296412; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.9162051198177426
Time : 12:57:59; X : 4.990029055937354; Y : -5.025402321112061; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.8191877166019648
Time : 12:57:59; X : 4.981836783793169; Y : -5.029685074556072; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.7319829373377975
Time : 12:57:59; X : 4.973941700482665; Y : -5.03466775486049; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.6534698027495511
Time : 12:57:59; X : 4.966387535739313; Y : -5.0402378959187235; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.5833753600013543
Time : 12:58:00; X : 4.959155149054724; Y : -5.046327011429091; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.5204938397233212
Time : 12:58:00; X : 4.952238205822598; Y : -5.052865472694899; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.4640424096427469
Time : 12:58:00; X : 4.945626066208519; Y : -5.059791259097677; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.4133485348464401
Time : 12:58:00; X : 4.939305466097211; Y : -5.067048962324968; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.36778888138216903
Time : 12:58:00; X : 4.933262773811201; Y : -5.0745876731047; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.32682523395950636
Time : 12:58:00; X : 4.927573102982406; Y : -5.082232130277439; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.2897445449749174
Time : 12:58:00; X : 4.922218684557456; Y : -5.089966298554487; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.25482208910960225
Time : 12:58:00; X : 4.916910268108692; Y : -5.098138797011983; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.22540702779063082
Time : 12:58:00; X : 4.911793704916991; Y : -5.106467587091733; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.1990681553986784
Time : 12:58:00; X : 4.9068489057848454; Y : -5.114933603389789; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.17544896027878565
Time : 12:58:01; X : 4.902058192931395; Y : -5.123518729469752; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.15426864366232085
Time : 12:58:01; X : 4.8974049398019; Y : -5.132207605181899; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.13527434767822122
Time : 12:58:01; X : 4.8928739371725625; Y : -5.140986420387655; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.11824737085524983
Time : 12:58:01; X : 4.888452465552004; Y : -5.149840113095877; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.10302977375742017
Time : 12:58:01; X : 4.8841599420855815; Y : -5.158687355058234; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.09054828341087084
Time : 12:58:01; X : 4.879941735630482; Y : -5.167564246677408; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.07967339259859685
Time : 12:58:01; X : 4.875756806908808; Y : -5.176565636643928; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.0685924643420428
Time : 12:58:01; X : 4.8716479725489155; Y : -5.1855875705717045; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.0583101254503271
Time : 12:58:01; X : 4.867613220608814; Y : -5.19461951946564; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.04870116174332395
Time : 12:58:02; X : 4.8636105826360705; Y : -5.20372189338499; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.04050790746717858
Time : 12:58:02; X : 4.85964794670177; Y : -5.2128534151056956; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.03317096232546479
Time : 12:58:02; X : 4.8557174971268005; Y : -5.222011905677621; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.026600919967531667
Time : 12:58:02; X : 4.851813125856254; Y : -5.231193155353816; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.020727890816154115
Time : 12:58:02; X : 4.847930260209478; Y : -5.24039105954476; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.01551709062583484
Time : 12:58:02; X : 4.844105639545523; Y : -5.249493530867111; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.012577043091713591
Time : 12:58:02; X : 4.84027092868692; Y : -5.258591445362113; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.0101309063616295
Time : 12:58:02; X : 4.8363937224088405; Y : -5.267804417021806; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.006272880814419679
Time : 12:58:02; X : 4.832524503768755; Y : -5.277021419396501; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.002685568441124886
Time : 12:58:02; X : 4.828687219583274; Y : -5.286182307347834; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.0013142218946686768
Time : 12:58:03; X : 4.824831511686359; Y : -5.29540232747099; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.004317643723823039
Time : 12:58:03; X : 4.8209748845626255; Y : -5.304622428150107; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.007045680115564501
Time : 12:58:03; X : 4.817112173231568; Y : -5.313847592486509; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.00948755967077819
Time : 12:58:03; X : 4.813240476324096; Y : -5.32307751678586; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.011656144254157397
Time : 12:58:03; X : 4.8093586898562695; Y : -5.332307717375722; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.013551241460428187
Time : 12:58:03; X : 4.80547888378186; Y : -5.341502516526572; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.014667767634824358
